"etag_id";"etagt_id";"etagt_language";"etagt_text";"etag_parent_id";"etag_weight";"etag_type"
"1011";"1055";"fr";"inférieure (DII DIII avF)";"966";"527";"Associé"
"1012";"1057";"fr";"postérieure (V7-V8-V9)";"966";"528";"Associé"
"1013";"1059";"fr";"droite (V3R V4R)";"966";"529";"Associé"
"967";"1061";"fr";"Onde T inversée physiologique";"966";"530";"Normal"
"968";"1063";"fr";"isolée en DIII";"967";"531";"Associé"
"969";"1065";"fr";"en V2-V3 (repolarisation de l'apex)";"967";"532";"Associé"
"970";"1067";"fr";"V1-V4 chez l'athlète d'origine africaine";"967";"533";"Associé"
"971";"1069";"fr";"Onde T inversée évocatrice d'effet Chatterjee";"966";"534";"Normal"
"972";"1071";"fr";"antérieure étendue";"971";"535";"Associé"
"973";"1073";"fr";"septale (V1-V2)";"971";"536";"Associé"
"974";"1075";"fr";"apicale (V3-V4)";"971";"537";"Associé"
"975";"1077";"fr";"latérale (V5-V6 Di aVL)";"971";"538";"Associé"
"976";"1079";"fr";"inférieure (DII DIII avF)";"971";"539";"Associé"
"977";"1081";"fr";"postérieure (V7-V8-V9)";"971";"540";"Associé"
"978";"1083";"fr";"droite (V3R V4R)";"971";"541";"Associé"
"979";"1085";"fr";"diffuse";"971";"542";"Associé"
"980";"1087";"fr";"Onde T inversée évocatrice d'une cardiopathie";"966";"543";"Normal"
"981";"1089";"fr";"antérieure étendue";"980";"544";"Associé"
"982";"1091";"fr";"septale (V1-V2)";"980";"545";"Associé"
"983";"1093";"fr";"apicale (V3-V4)";"980";"546";"Associé"
"984";"1095";"fr";"latérale (V5-V6 Di aVL)";"980";"547";"Associé"
"985";"1097";"fr";"inférieure (DII DIII avF)";"980";"548";"Associé"
"986";"1099";"fr";"postérieure (V7-V8-V9)";"980";"549";"Associé"
"987";"1101";"fr";"droite (V3R V4R)";"980";"550";"Associé"
"988";"1103";"fr";"diffuse";"980";"551";"Associé"
"989";"1105";"fr";"Onde T inversée écovatrice d'une pathologie coronaire (SCA)";"966";"552";"Normal"
"990";"1107";"fr";"antérieure étendue";"989";"553";"Associé"
"991";"1109";"fr";"septale (V1-V2)";"989";"554";"Associé"
"992";"1111";"fr";"apicale (V3-V4)";"989";"555";"Associé"
"993";"1113";"fr";"latérale (V5-V6 Di aVL)";"989";"556";"Associé"
"994";"1115";"fr";"inférieure (DII DIII avF)";"989";"557";"Associé"
"995";"1117";"fr";"postérieure (V7-V8-V9)";"989";"558";"Associé"
"996";"1119";"fr";"droite (V3R V4R)";"989";"559";"Associé"
"997";"1121";"fr";"diffuse";"989";"560";"Associé"
"2232";"1123";"fr";"Onde T inversée évocatrice d'une ischémie fonctionnelle";"966";"561";"Normal"
"2500";"1125";"fr";"secondaire à une tachycardie";"2232";"562";"Associé"
"2501";"1127";"fr";"antérieure étendue";"2232";"563";"Associé"
"2503";"1129";"fr";"septale (V1-V2)";"2232";"564";"Associé"
"2504";"1131";"fr";"apicale (V3-V4)";"2232";"565";"Associé"
"2505";"1133";"fr";"latérale bas (V5-V6)";"2232";"566";"Associé"
"2506";"1135";"fr";"latérale haut (DI-VL)";"2232";"567";"Associé"
"2507";"1137";"fr";"inférieure (DIII-VF-DII)";"2232";"568";"Associé"
"2508";"1139";"fr";"basale (V7-V8-V9)";"2232";"569";"Associé"
"2509";"1141";"fr";"droite (V3R V4R)";"2232";"570";"Associé"
"2510";"1143";"fr";"diffuse";"2232";"571";"Associé"
"998";"1145";"fr";"Onde T inversée écovatrice d'une anomalie métabolique";"966";"572";"Normal"
"1000";"1147";"fr";"Onde T inversée écovatrice d'origine médicamenteuse";"966";"573";"Normal"
"1003";"1149";"fr";"Onde T inversée écovatrice d'un Tako-tsubo";"966";"574";"Normal"
"1004";"1151";"fr";"Onde T inversée écovatrice d'un épanchement péricardique";"966";"575";"Normal"
